,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,NFLX,INTC,AMD,ADBE,PYPL,CSCO,ORCL,IBM,CRM,SAP,UBER,SQ,GOOG,BABA,V,MA,DIS,BAC,WFC,JPM,C,GS,MS,T,VZ,TMUS,CMCSA,XOM,CVX,COP,PFE,MRK,JNJ,UNH,PG,KO,PEP,MCD,WMT,HD,COST,TGT,NKE,SBUX
2024-05-17,189.87,184.7,176.06,471.91,420.21,924.79,177.46,621.1,31.83,164.47,483.43,64.48,48.17,123.5,169.03,285.61,192.8,65.67,72.26,177.29,88.54,280.1,460.27,103.25,39.29,61.08,204.79,64.07,467.72,100.22,17.4,40.06,164.0,39.27,119.64,162.67,121.71,28.64,131.19,154.64,524.63,167.64,63.03,182.19,272.38,64.65,344.21,795.81,160.13,92.18,77.85
2024-05-16,189.84,183.63,174.18,473.23,420.99,943.59,174.84,610.52,32.03,162.62,482.88,64.1,48.34,122.16,168.97,284.68,190.67,66.05,71.75,175.43,86.7,279.84,458.87,103.37,39.22,61.06,202.47,64.14,464.52,99.58,17.3,40.25,163.58,39.37,117.87,161.09,119.83,28.92,130.88,154.28,521.27,167.86,63.32,183.11,273.51,64.01,342.73,793.07,160.65,91.77,75.28
2024-05-15,189.72,185.99,172.51,481.54,423.08,946.3,173.99,613.52,31.27,159.67,485.35,63.9,49.67,121.63,168.26,287.54,192.44,66.62,71.52,173.88,80.99,281.5,458.0,102.77,38.91,62.34,202.11,64.24,466.09,100.52,17.33,40.49,162.68,39.25,118.58,163.05,120.7,28.82,131.73,152.67,517.55,166.51,63.13,179.46,273.87,59.83,348.67,787.04,157.51,91.67,75.7
2024-05-14,187.43,187.07,170.34,471.85,416.56,913.56,177.55,613.66,31.05,153.16,475.95,64.58,48.95,120.87,167.36,276.8,189.7,65.32,71.2,171.93,79.51,277.74,454.2,105.35,38.49,61.89,201.51,63.59,458.47,99.38,17.3,40.49,162.41,39.7,117.67,163.61,121.04,28.38,128.66,151.38,513.88,165.76,63.1,179.87,270.66,59.86,340.5,777.9,158.96,92.79,75.63
2024-05-13,186.28,186.57,169.14,468.01,413.72,903.99,171.89,616.59,30.51,150.56,483.11,63.95,48.68,116.37,167.56,277.52,189.96,66.02,69.74,170.9,84.6,279.39,457.76,105.83,38.21,61.26,198.73,63.4,453.56,98.56,17.26,40.54,163.35,39.7,117.91,164.53,121.59,28.44,129.29,151.22,511.74,165.87,63.58,180.9,271.32,60.41,340.96,775.15,160.9,92.72,76.18
2024-05-10,183.05,187.48,168.65,476.2,414.74,898.78,168.47,610.87,29.85,151.92,482.29,62.93,48.06,116.67,167.15,276.67,190.05,66.99,71.31,170.29,80.04,280.74,456.98,105.79,38.45,61.89,198.77,63.53,454.73,98.28,17.17,40.4,164.2,39.31,117.96,165.82,121.91,28.01,130.06,149.91,512.81,166.85,63.26,179.79,275.0,60.48,346.43,787.19,163.13,90.94,76.11
2024-05-09,184.57,189.5,169.96,475.42,412.32,887.47,171.97,612.09,30.09,152.39,482.65,64.45,47.79,116.64,166.27,275.17,191.99,67.93,73.2,171.58,79.46,278.54,455.49,105.8,38.28,61.28,197.5,63.32,455.56,98.11,17.18,39.79,164.68,38.54,118.44,165.45,123.39,28.18,130.23,149.85,507.03,166.04,62.88,178.06,267.95,60.44,347.44,779.04,164.32,93.39,75.68
2024-05-08,182.74,188.0,169.38,472.6,410.54,904.12,174.72,609.47,30.0,153.62,488.1,63.81,48.0,117.39,169.9,278.97,190.31,66.4,71.14,171.16,78.46,277.19,454.77,105.44,37.71,61.23,195.65,62.75,446.95,95.64,17.11,39.48,162.83,39.05,116.15,162.54,123.06,28.27,129.55,148.95,503.21,165.07,62.85,177.41,268.49,60.3,338.83,763.41,159.59,93.59,73.5
2024-05-07,182.4,188.76,171.25,468.24,409.34,905.54,177.81,606.0,30.68,154.43,492.27,65.92,47.28,117.93,168.38,277.18,187.54,70.43,71.6,172.98,79.37,276.46,453.06,105.39,37.84,60.26,191.75,62.0,443.8,95.79,17.08,39.31,162.19,38.49,116.17,162.67,123.54,27.77,130.38,148.72,500.96,165.76,62.62,178.02,267.5,60.62,340.69,771.31,160.41,93.78,72.5
2024-05-06,181.71,188.7,168.1,465.68,413.54,921.4,184.76,596.97,30.97,155.78,493.59,65.61,47.11,118.34,168.61,275.63,185.41,71.51,73.53,169.83,81.55,272.67,449.37,116.47,37.69,60.19,192.0,62.81,443.67,94.79,16.99,39.33,162.37,38.49,116.75,162.3,123.55,28.16,127.57,148.58,494.38,164.44,62.35,175.82,269.3,59.87,342.29,756.45,158.35,93.36,72.9
2024-05-03,183.38,186.21,167.24,451.96,406.66,887.89,181.19,579.34,30.9,150.6,486.18,65.7,47.12,115.8,165.71,273.66,183.45,69.23,69.47,168.99,81.33,268.49,443.58,113.66,37.25,59.94,190.51,61.52,438.18,93.64,16.85,38.89,164.6,38.69,116.0,160.25,122.23,27.81,127.51,149.27,492.45,164.46,62.17,176.15,270.32,59.82,342.85,743.9,158.04,92.15,73.11
2024-05-02,173.03,184.72,166.62,441.68,397.84,858.17,180.01,565.15,30.51,146.16,476.57,66.98,46.79,114.96,164.69,272.13,180.64,68.57,70.3,168.46,80.33,267.61,441.1,112.62,36.88,59.83,191.66,61.54,432.57,92.65,16.82,38.93,164.91,38.36,116.24,160.73,122.25,27.7,128.26,149.92,492.97,163.84,61.99,175.45,273.28,59.71,335.53,732.44,158.12,92.41,74.93
2024-05-01,169.3,179.0,163.86,439.19,394.94,830.41,179.99,551.71,30.37,144.27,469.39,66.14,46.84,114.63,164.43,268.69,180.07,67.79,66.84,165.57,75.51,267.32,442.07,110.48,36.95,59.52,191.86,61.35,426.95,91.54,16.92,39.2,165.47,38.2,116.03,159.63,124.34,27.18,128.8,151.18,484.11,163.4,61.93,175.15,274.43,58.85,331.97,722.22,156.43,90.34,74.44
2024-04-30,170.33,175.0,162.78,430.17,389.33,864.02,183.28,550.64,30.47,158.38,462.83,67.92,46.98,113.75,166.2,268.94,181.21,66.27,73.0,164.64,74.85,268.61,451.2,111.1,37.01,59.32,191.74,61.33,426.71,90.84,16.89,39.49,164.17,38.11,118.27,161.27,125.62,25.62,129.22,144.59,483.7,163.2,61.77,175.91,273.04,59.35,334.22,722.9,160.98,92.26,88.49
2024-04-29,173.5,180.96,166.15,432.62,402.25,877.57,194.05,559.49,31.36,160.2,473.07,66.99,47.78,116.49,167.43,275.74,183.77,67.4,75.31,167.9,76.41,271.84,457.1,112.08,37.55,59.8,193.28,62.26,430.81,92.11,17.02,40.09,164.25,38.85,119.64,166.33,130.22,25.64,130.12,146.82,489.03,161.66,62.04,176.14,273.55,60.24,336.8,726.33,163.73,94.06,88.33
2024-04-26,169.3,179.62,171.95,443.29,406.32,877.35,168.29,561.23,31.88,157.4,477.56,65.96,47.86,117.21,167.13,274.29,186.18,69.05,74.48,173.69,75.55,274.52,462.42,112.73,37.83,59.91,193.49,62.66,427.57,92.83,16.75,39.68,163.96,38.57,117.96,165.89,130.24,25.4,131.2,146.14,495.35,161.29,61.74,175.58,273.09,60.16,335.09,729.18,164.74,94.12,88.25
2024-04-25,169.89,173.67,156.0,441.38,399.04,826.32,170.18,564.8,35.11,153.76,473.44,64.1,48.1,114.89,168.91,273.14,185.09,69.31,72.79,157.95,75.11,275.16,462.11,112.77,37.91,59.93,193.37,61.79,420.05,92.56,16.58,39.22,164.05,37.87,121.33,165.28,130.11,25.26,130.72,146.82,493.86,162.55,61.74,176.68,275.6,60.21,331.98,721.86,164.44,93.94,87.84
2024-04-24,169.02,176.59,159.13,493.5,409.06,796.77,162.13,555.12,34.5,151.74,477.12,64.84,48.35,115.34,184.1,276.19,188.07,69.36,74.03,161.1,74.63,275.02,462.5,113.92,38.32,60.6,193.08,62.47,423.04,93.85,16.81,39.49,164.18,40.21,121.05,163.57,129.28,26.27,127.0,148.53,487.3,162.6,61.55,177.41,276.75,59.87,333.01,723.89,165.34,94.64,88.75
2024-04-23,166.9,179.54,158.26,496.1,407.57,824.23,144.68,577.75,34.28,152.27,472.9,64.43,48.32,115.09,182.19,276.68,188.01,70.8,75.21,159.92,72.51,274.11,462.82,113.71,38.37,60.94,192.14,62.67,424.0,93.76,16.5,39.7,163.25,40.36,121.03,162.85,129.84,26.32,126.88,149.56,486.18,161.5,60.64,171.22,276.88,59.09,339.0,722.68,166.51,94.02,87.87
